Timestamp,Artifact,Type
1637745146,A4,Major Update
1667472559,A4,Major Update
1666861684,A4,Major Update
1679402690,A4,Major Update
1664281201,A4,Major Update
1663246964,A4,Major Update
1678876388,A4,Major Update
1662649345,A4,Major Update
1648729767,A4,Major Update
1676317647,A4,Major Update
1684942780,A4,Major Update
1673014229,A4,Major Update
1650488571,A4,Major Update
1685968842,A4,Major Update
1673598215,A4,Major Update
1653914745,A4,Major Update
1686904059,A4,Major Update
1674811068,A4,Major Update
1688128284,A4,Major Update
1675676525,A4,Major Update
1689799890,A4,Major Update
1675766107,A4,Major Update
1675787774,A4,Major Update
1656592182,A4,Major Update
1675798647,A4,Major Update
1658857718,A4,Major Update
1714681758,A5,Major Update
1724888304,A5,Major Update
1578810623,A5,Major Update
1556169464,A5,Major Update
1529044220,A5,Major Update
1458542270,A5,Major Update
1457577447,A5,Major Update
1616764366,A5,Major Update
1644443870,A5,Major Update
